request_id,endpoint,endpoint_pattern,method,method_encoded,parameter,user_id,target_id,status_code,response_length,sensitive_data_found,is_unauthorized,response_time,timestamp
9a8b95940046,/user/profile?user_id=101,/user/profile?user_id=<ID>,GET,0,user_id,101,101,200,155,1,0,2.126834,2025-11-05T22:55:00.781347
d71d5567d2d7,/user/profile?user_id=201,/user/profile?user_id=<ID>,GET,0,user_id,101,201,404,27,0,0,2.119034,2025-11-05T22:55:03.003296
cc974ab566d1,/user/profile?user_id=301,/user/profile?user_id=<ID>,GET,0,user_id,101,301,404,27,0,0,2.106626,2025-11-05T22:55:05.212472
786f68b11c9e,/api/user/101/details,/api/user/<ID>/details,GET,0,details,101,101,401,25,0,0,2.078939,2025-11-05T22:55:07.393742
593845ec8a2a,/api/user/201/details,/api/user/<ID>/details,GET,0,details,101,201,401,25,0,0,2.075404,2025-11-05T22:55:09.570659
05316a1ace0b,/api/user/301/details,/api/user/<ID>/details,POST,1,details,101,301,405,153,0,0,2.048617,2025-11-05T22:55:11.721222
864403045174,/profile?uid=101,/profile?uid=<ID>,GET,0,uid,101,101,200,64,1,0,2.113617,2025-11-05T22:55:13.936917
7dd3afaf1160,/profile?uid=201,/profile?uid=<ID>,GET,0,uid,101,201,404,30,0,0,2.069131,2025-11-05T22:55:16.107671
d0ca4d5c84f2,/profile?uid=301,/profile?uid=<ID>,GET,0,uid,101,301,404,30,0,0,2.106521,2025-11-05T22:55:18.315933
429750706146,/invoice?id=101,/invoice?id=<ID>,GET,0,id,101,101,404,30,0,0,2.074398,2025-11-05T22:55:20.492431
88481022a819,/invoice?id=201,/invoice?id=<ID>,GET,0,id,101,201,404,30,0,0,2.09601,2025-11-05T22:55:22.690941
6f5b158651d2,/invoice?id=301,/invoice?id=<ID>,GET,0,id,101,301,200,85,0,0,2.088695,2025-11-05T22:55:24.881420
bd0910e20d50,/order/101/status,/order/<ID>/status,GET,0,status,101,101,401,25,0,0,2.080827,2025-11-05T22:55:27.063813
59e236af4b06,/order/201/status,/order/<ID>/status,GET,0,status,101,201,401,25,0,0,2.079395,2025-11-05T22:55:29.245941
