user_id,target_id,endpoint,parameter,url,method,status_code,response_length,sensitive_data_found,has_auth_header,self_access,is_unauthorized
52,107,/profile?id=,id=107,http://localhost/profile?id=107,GET,404,181,0,1,0,0
4,88,/api/users/,id=88,http://localhost/api/users/88,GET,200,2329,1,0,0,1
18,18,/admin/user/,id=18,http://localhost/admin/user/18,GET,200,2507,1,1,1,0
166,166,/account//settings,id=166,http://localhost/account/166/settings,GET,200,1074,1,1,1,0
46,46,/profile?id=,id=46,http://localhost/profile?id=46,GET,200,1860,0,1,1,0
196,25,/account//settings,id=25,http://localhost/account/25/settings,GET,404,130,0,1,0,0
102,102,/admin/user/,id=102,http://localhost/admin/user/102,GET,200,1678,0,1,1,0
40,74,/account//settings,id=74,http://localhost/account/74/settings,GET,200,693,1,0,0,1
111,111,/account//settings,id=111,http://localhost/account/111/settings,GET,200,1322,0,1,1,0
38,34,/admin/user/,id=34,http://localhost/admin/user/34,GET,200,2740,1,0,0,1
188,50,/user/profile,id=50,http://localhost/user/profile,GET,200,1867,1,0,0,1
81,81,/documents//view,id=81,http://localhost/documents/81/view,GET,200,1786,1,1,1,0
170,170,/api/users/,id=170,http://localhost/api/users/170,GET,200,938,0,1,1,0
188,148,/profile?id=,id=148,http://localhost/profile?id=148,GET,200,629,1,1,0,1
40,40,/account//settings,id=40,http://localhost/account/40/settings,GET,200,1178,0,1,1,0
45,45,/orders/,id=45,http://localhost/orders/45,GET,200,1998,0,1,1,0
153,153,/orders/,id=153,http://localhost/orders/153,GET,200,1650,1,1,1,0
157,67,/account//settings,id=67,http://localhost/account/67/settings,GET,200,1371,1,1,0,1
43,47,/profile?id=,id=47,http://localhost/profile?id=47,GET,200,1047,1,1,0,1
151,151,/account//settings,id=151,http://localhost/account/151/settings,GET,200,2477,1,1,1,0
185,185,/api/v1/accounts/,id=185,http://localhost/api/v1/accounts/185,GET,200,2720,0,1,1,0
32,32,/admin/user/,id=32,http://localhost/admin/user/32,GET,200,1547,0,1,1,0
109,109,/api/users/,id=109,http://localhost/api/users/109,GET,200,2282,0,1,1,0
171,171,/orders/,id=171,http://localhost/orders/171,GET,200,2940,0,1,1,0
5,5,/api/users/,id=5,http://localhost/api/users/5,GET,200,1496,0,1,1,0
100,100,/api/users/,id=100,http://localhost/api/users/100,GET,200,2327,1,1,1,0
19,19,/account//settings,id=19,http://localhost/account/19/settings,GET,200,1858,1,1,1,0
59,59,/account//settings,id=59,http://localhost/account/59/settings,GET,200,2314,0,1,1,0
170,170,/profile?id=,id=170,http://localhost/profile?id=170,GET,200,775,1,1,1,0
52,52,/admin/user/,id=52,http://localhost/admin/user/52,POST,200,2374,1,1,1,0
15,15,/user/profile,id=15,http://localhost/user/profile,GET,404,161,0,1,1,0
101,157,/user/profile,id=157,http://localhost/user/profile,GET,200,2249,1,1,0,1
169,169,/documents//view,id=169,http://localhost/documents/169/view,GET,200,1992,0,1,1,0
66,49,/user/profile,id=49,http://localhost/user/profile,GET,200,429,1,0,0,1
134,134,/orders/,id=134,http://localhost/orders/134,POST,200,749,0,1,1,0
163,163,/api/users/,id=163,http://localhost/api/users/163,POST,200,2549,1,1,1,0
30,30,/user/profile,id=30,http://localhost/user/profile,GET,200,1173,0,1,1,0
45,45,/documents//view,id=45,http://localhost/documents/45/view,POST,200,501,0,1,1,0
77,77,/documents//view,id=77,http://localhost/documents/77/view,GET,200,2502,0,1,1,0
52,52,/orders/,id=52,http://localhost/orders/52,GET,200,1043,0,1,1,0
5,123,/documents//view,id=123,http://localhost/documents/123/view,GET,403,140,0,1,0,0
71,71,/user/profile,id=71,http://localhost/user/profile,GET,404,154,0,1,1,0
164,70,/profile?id=,id=70,http://localhost/profile?id=70,GET,403,121,0,1,0,0
187,187,/orders/,id=187,http://localhost/orders/187,GET,200,1722,0,1,1,0
80,86,/orders/,id=86,http://localhost/orders/86,GET,200,2585,1,0,0,1
57,57,/orders/,id=57,http://localhost/orders/57,GET,200,2363,0,1,1,0
90,90,/api/users/,id=90,http://localhost/api/users/90,GET,200,2109,0,1,1,0
79,79,/orders/,id=79,http://localhost/orders/79,GET,200,2823,0,1,1,0
153,153,/user/profile,id=153,http://localhost/user/profile,GET,200,2890,0,1,1,0
121,121,/orders/,id=121,http://localhost/orders/121,GET,200,2836,0,1,1,0
95,21,/user/profile,id=21,http://localhost/user/profile,GET,200,2041,1,1,0,1
91,42,/orders/,id=42,http://localhost/orders/42,GET,403,62,0,0,0,0
107,107,/account//settings,id=107,http://localhost/account/107/settings,POST,200,1332,0,1,1,0
117,117,/documents//view,id=117,http://localhost/documents/117/view,GET,200,2479,1,1,1,0
149,124,/profile?id=,id=124,http://localhost/profile?id=124,GET,404,171,0,0,0,0
3,3,/documents//view,id=3,http://localhost/documents/3/view,GET,200,1872,1,1,1,0
169,75,/user/profile,id=75,http://localhost/user/profile,GET,200,737,1,0,0,1
87,128,/admin/user/,id=128,http://localhost/admin/user/128,GET,403,128,0,1,0,0
66,168,/profile?id=,id=168,http://localhost/profile?id=168,GET,200,1390,1,0,0,1
149,149,/profile?id=,id=149,http://localhost/profile?id=149,GET,200,1851,1,1,1,0
39,39,/account//settings,id=39,http://localhost/account/39/settings,GET,200,1804,1,1,1,0
10,10,/api/users/,id=10,http://localhost/api/users/10,GET,200,1677,0,1,1,0
114,114,/profile?id=,id=114,http://localhost/profile?id=114,GET,200,2598,1,1,1,0
150,150,/user/profile,id=150,http://localhost/user/profile,POST,200,1940,1,1,1,0
161,161,/user/profile,id=161,http://localhost/user/profile,GET,200,636,0,1,1,0
61,170,/api/v1/accounts/,id=170,http://localhost/api/v1/accounts/170,GET,200,1085,1,0,0,1
163,163,/documents//view,id=163,http://localhost/documents/163/view,POST,200,708,1,1,1,0
148,148,/profile?id=,id=148,http://localhost/profile?id=148,POST,200,2701,0,1,1,0
13,13,/profile?id=,id=13,http://localhost/profile?id=13,POST,200,1977,1,1,1,0
173,173,/api/users/,id=173,http://localhost/api/users/173,GET,200,510,1,1,1,0
88,88,/api/v1/accounts/,id=88,http://localhost/api/v1/accounts/88,GET,200,1926,0,1,1,0
27,27,/account//settings,id=27,http://localhost/account/27/settings,GET,200,2529,1,1,1,0
29,147,/api/users/,id=147,http://localhost/api/users/147,GET,404,177,0,0,0,0
29,29,/api/users/,id=29,http://localhost/api/users/29,GET,200,2012,0,1,1,0
143,143,/orders/,id=143,http://localhost/orders/143,GET,200,2403,0,1,1,0
111,111,/profile?id=,id=111,http://localhost/profile?id=111,GET,200,1308,0,1,1,0
13,13,/admin/user/,id=13,http://localhost/admin/user/13,GET,200,2812,1,1,1,0
11,11,/admin/user/,id=11,http://localhost/admin/user/11,GET,200,921,0,1,1,0
148,195,/documents//view,id=195,http://localhost/documents/195/view,GET,200,1259,1,1,0,1
90,112,/profile?id=,id=112,http://localhost/profile?id=112,GET,200,893,0,0,0,1
8,152,/user/profile,id=152,http://localhost/user/profile,GET,403,96,0,1,0,0
44,44,/api/v1/accounts/,id=44,http://localhost/api/v1/accounts/44,GET,404,77,1,1,1,0
6,198,/documents//view,id=198,http://localhost/documents/198/view,GET,200,2494,0,0,0,1
177,177,/account//settings,id=177,http://localhost/account/177/settings,GET,200,2483,1,1,1,0
49,49,/profile?id=,id=49,http://localhost/profile?id=49,GET,200,1718,1,1,1,0
139,58,/user/profile,id=58,http://localhost/user/profile,GET,200,2374,1,0,0,1
45,166,/api/users/,id=166,http://localhost/api/users/166,GET,403,67,0,1,0,0
138,138,/api/users/,id=138,http://localhost/api/users/138,POST,200,1573,0,1,1,0
99,170,/orders/,id=170,http://localhost/orders/170,GET,200,1997,1,0,0,1
156,156,/orders/,id=156,http://localhost/orders/156,GET,200,1326,0,1,1,0
16,16,/orders/,id=16,http://localhost/orders/16,GET,200,2140,0,1,1,0
177,177,/account//settings,id=177,http://localhost/account/177/settings,GET,200,1622,1,1,1,0
200,200,/account//settings,id=200,http://localhost/account/200/settings,GET,200,726,0,1,1,0
16,16,/user/profile,id=16,http://localhost/user/profile,GET,200,698,0,1,1,0
169,196,/account//settings,id=196,http://localhost/account/196/settings,GET,200,1154,0,1,0,1
193,193,/api/v1/accounts/,id=193,http://localhost/api/v1/accounts/193,GET,200,1917,0,1,1,0
41,41,/profile?id=,id=41,http://localhost/profile?id=41,POST,200,1213,0,1,1,0
105,114,/api/users/,id=114,http://localhost/api/users/114,GET,200,426,1,0,0,1
54,54,/profile?id=,id=54,http://localhost/profile?id=54,GET,200,2734,1,1,1,0
190,190,/api/users/,id=190,http://localhost/api/users/190,GET,200,1583,0,1,1,0
154,154,/user/profile,id=154,http://localhost/user/profile,GET,200,1751,0,1,1,0
113,113,/api/v1/accounts/,id=113,http://localhost/api/v1/accounts/113,GET,404,111,0,1,1,0
87,141,/user/profile,id=141,http://localhost/user/profile,GET,200,421,1,0,0,1
193,193,/orders/,id=193,http://localhost/orders/193,GET,200,2635,0,1,1,0
111,198,/account//settings,id=198,http://localhost/account/198/settings,GET,200,2713,1,0,0,1
113,3,/orders/,id=3,http://localhost/orders/3,GET,200,2522,0,1,0,1
82,155,/user/profile,id=155,http://localhost/user/profile,GET,404,151,0,0,0,0
140,2,/api/v1/accounts/,id=2,http://localhost/api/v1/accounts/2,GET,200,2348,1,1,0,1
170,63,/orders/,id=63,http://localhost/orders/63,GET,403,132,0,1,0,0
96,10,/orders/,id=10,http://localhost/orders/10,GET,200,2217,0,0,0,1
4,4,/orders/,id=4,http://localhost/orders/4,GET,200,980,0,1,1,0
58,9,/profile?id=,id=9,http://localhost/profile?id=9,GET,200,461,0,1,0,1
192,192,/api/users/,id=192,http://localhost/api/users/192,POST,200,911,0,1,1,0
95,45,/documents//view,id=45,http://localhost/documents/45/view,GET,200,1367,0,1,0,1
75,75,/admin/user/,id=75,http://localhost/admin/user/75,GET,200,974,1,1,1,0
35,26,/profile?id=,id=26,http://localhost/profile?id=26,GET,200,464,0,1,0,1
119,119,/documents//view,id=119,http://localhost/documents/119/view,POST,200,2214,0,1,1,0
96,96,/profile?id=,id=96,http://localhost/profile?id=96,GET,200,2187,0,1,1,0
156,50,/api/v1/accounts/,id=50,http://localhost/api/v1/accounts/50,GET,200,2754,0,0,0,1
123,123,/profile?id=,id=123,http://localhost/profile?id=123,POST,200,2508,0,1,1,0
170,170,/profile?id=,id=170,http://localhost/profile?id=170,GET,200,1821,1,1,1,0
187,131,/account//settings,id=131,http://localhost/account/131/settings,GET,200,1958,1,0,0,1
18,4,/profile?id=,id=4,http://localhost/profile?id=4,GET,200,825,1,1,0,1
76,110,/documents//view,id=110,http://localhost/documents/110/view,GET,403,150,0,0,0,0
63,63,/admin/user/,id=63,http://localhost/admin/user/63,POST,200,2109,0,1,1,0
119,125,/profile?id=,id=125,http://localhost/profile?id=125,GET,404,59,0,0,0,0
121,121,/api/users/,id=121,http://localhost/api/users/121,GET,404,190,0,1,1,0
69,69,/account//settings,id=69,http://localhost/account/69/settings,GET,404,128,0,1,1,0
165,165,/profile?id=,id=165,http://localhost/profile?id=165,GET,200,1050,0,1,1,0
174,174,/orders/,id=174,http://localhost/orders/174,GET,200,890,0,1,1,0
146,146,/user/profile,id=146,http://localhost/user/profile,GET,200,2019,0,1,1,0
17,94,/orders/,id=94,http://localhost/orders/94,GET,404,101,0,1,0,0
12,12,/user/profile,id=12,http://localhost/user/profile,GET,200,2440,0,1,1,0
25,25,/profile?id=,id=25,http://localhost/profile?id=25,GET,200,2968,0,1,1,0
86,158,/api/v1/accounts/,id=158,http://localhost/api/v1/accounts/158,GET,200,614,1,0,0,1
195,195,/user/profile,id=195,http://localhost/user/profile,GET,200,1198,0,1,1,0
184,184,/profile?id=,id=184,http://localhost/profile?id=184,GET,200,1302,1,1,1,0
198,198,/api/users/,id=198,http://localhost/api/users/198,GET,200,556,1,1,1,0
36,36,/api/users/,id=36,http://localhost/api/users/36,POST,200,2258,0,1,1,0
77,130,/admin/user/,id=130,http://localhost/admin/user/130,GET,200,866,0,1,0,1
79,7,/profile?id=,id=7,http://localhost/profile?id=7,GET,403,107,0,1,0,0
41,41,/api/users/,id=41,http://localhost/api/users/41,POST,200,2477,0,1,1,0
183,183,/profile?id=,id=183,http://localhost/profile?id=183,GET,200,2809,1,1,1,0
128,128,/api/v1/accounts/,id=128,http://localhost/api/v1/accounts/128,GET,200,2537,0,1,1,0
54,108,/admin/user/,id=108,http://localhost/admin/user/108,GET,200,2040,1,1,0,1
37,37,/api/users/,id=37,http://localhost/api/users/37,GET,200,2030,0,1,1,0
121,121,/api/v1/accounts/,id=121,http://localhost/api/v1/accounts/121,GET,200,2182,0,1,1,0
83,83,/user/profile,id=83,http://localhost/user/profile,GET,200,2845,0,1,1,0
175,175,/profile?id=,id=175,http://localhost/profile?id=175,GET,200,1117,1,1,1,0
72,72,/api/users/,id=72,http://localhost/api/users/72,GET,404,102,0,1,1,0
184,110,/admin/user/,id=110,http://localhost/admin/user/110,GET,404,145,0,0,0,0
185,185,/profile?id=,id=185,http://localhost/profile?id=185,GET,200,1492,1,1,1,0
134,2,/profile?id=,id=2,http://localhost/profile?id=2,GET,200,1693,1,1,0,1
159,159,/user/profile,id=159,http://localhost/user/profile,GET,200,2236,0,1,1,0
153,30,/documents//view,id=30,http://localhost/documents/30/view,GET,200,1688,1,0,0,1
84,84,/orders/,id=84,http://localhost/orders/84,POST,200,2504,0,1,1,0
41,41,/profile?id=,id=41,http://localhost/profile?id=41,POST,200,1316,0,1,1,0
188,188,/api/users/,id=188,http://localhost/api/users/188,GET,200,1943,0,1,1,0
96,132,/user/profile,id=132,http://localhost/user/profile,GET,404,91,0,0,0,0
25,25,/profile?id=,id=25,http://localhost/profile?id=25,GET,200,1888,0,1,1,0
147,192,/user/profile,id=192,http://localhost/user/profile,GET,404,168,0,0,0,0
87,173,/api/v1/accounts/,id=173,http://localhost/api/v1/accounts/173,GET,200,545,0,0,0,1
36,10,/orders/,id=10,http://localhost/orders/10,GET,200,1376,1,1,0,1
114,114,/admin/user/,id=114,http://localhost/admin/user/114,POST,404,140,0,1,1,0
165,165,/account//settings,id=165,http://localhost/account/165/settings,GET,200,2978,0,1,1,0
191,141,/api/users/,id=141,http://localhost/api/users/141,GET,200,1623,1,0,0,1
56,56,/api/v1/accounts/,id=56,http://localhost/api/v1/accounts/56,GET,200,1187,0,1,1,0
177,200,/api/v1/accounts/,id=200,http://localhost/api/v1/accounts/200,GET,200,2320,1,1,0,1
16,92,/account//settings,id=92,http://localhost/account/92/settings,GET,200,839,1,0,0,1
49,49,/api/users/,id=49,http://localhost/api/users/49,GET,200,1951,0,1,1,0
129,89,/profile?id=,id=89,http://localhost/profile?id=89,GET,200,1115,0,1,0,1
60,58,/account//settings,id=58,http://localhost/account/58/settings,GET,200,1456,0,1,0,1
137,137,/admin/user/,id=137,http://localhost/admin/user/137,GET,200,1582,0,1,1,0
