request_id,user_id,target_id,endpoint,method,status_code,response_length,response_time,sensitive_data_found,is_unauthorized,endpoint_pattern,has_placeholder,endpoint_path,param_key_count,param_type_pattern,has_numeric_param,has_uuid_param,has_alphanumeric_param,self_access,id_difference,param_change_rate,user_target_diversity,endpoint_user_diversity,param_deviation_score,status_code_category,is_success,is_unauthorized,is_forbidden,is_not_found,response_length_log,response_length_category,response_time_log,is_slow_response,has_sensitive_data,sensitive_success_combo,method_risk_score,is_read_method,is_write_method,is_delete_method,hour_of_day,day_of_week,is_weekend,is_business_hours,endpoint_path_encoded,param_type_pattern_encoded,method_encoded,status_200,status_401,status_404,status_405,method_x_self_access,method_x_success,success_x_sensitive,forbidden_x_self,large_id_diff_x_success,status_code_normalized,response_length_normalized,response_time_normalized,id_difference_normalized,response_length_log_normalized,response_time_log_normalized,method_risk_score_normalized,hour_of_day_normalized,method_x_self_access_normalized
9a8b95940046,101,101,/user/profile?user_id=101,GET,200,155,2.126834,1,0,/user/profile?{},1,/user/profile?,1,numeric,1,0,0,1,0.0,0,29,2,0,success,1,0,0,0,5.049856007249537,small,1.1400209910416474,1,1,1,1,1,0,0,22,2,0,0,29,2,0,True,False,False,False,1,1,1,0,0,-3.885366668328318,2.477647818692507,1.8874248308698736,-0.7899952580049319,2.3950164369222913,1.8782117972165,-0.3552655235637277,-1.7982148487696796,4.445403763776779
d71d5567d2d7,101,201,/user/profile?user_id=201,GET,404,27,2.119034,0,0,/user/profile?{},1,/user/profile?,1,numeric,1,0,0,0,100.0,0,29,2,0,client_error,0,0,0,1,3.332204510175204,tiny,1.1375233384960368,1,0,0,1,1,0,0,22,2,0,0,29,2,0,False,False,True,False,0,0,0,0,0,0.2795627940338063,-0.4386183775172104,1.511006167908391,-0.4034287772465918,-0.4564771252155258,1.5061789539209804,-0.3552655235637277,-1.7982148487696796,-0.17526681505929956
cc974ab566d1,101,301,/user/profile?user_id=301,GET,404,27,2.106626,0,0,/user/profile?{},1,/user/profile?,1,numeric,1,0,0,0,200.0,0,29,2,0,client_error,0,0,0,1,3.332204510175204,tiny,1.1335372498149583,1,0,0,1,1,0,0,22,2,0,0,29,2,0,False,False,True,False,0,0,0,0,0,0.2795627940338063,-0.4386183775172104,0.912210940981964,-0.01686229648825172,-0.4564771252155258,0.912439080752522,-0.3552655235637277,-1.7982148487696796,-0.17526681505929956
786f68b11c9e,101,101,/api/user/101/details,GET,401,25,2.078939,0,0,/api/user/{}/details,1,/api/user//details,1,numeric,1,0,0,1,0.0,0,29,2,0,client_error,0,1,0,0,3.258096538021482,tiny,1.1245850571189588,0,0,0,1,1,0,0,22,2,0,0,9,2,0,False,True,False,False,1,0,0,0,0,0.21831383135201032,-0.48418503683298725,-0.4239305361224525,-0.7899952580049319,-0.579504646141257,-0.4210168910459142,-0.3552655235637277,-1.7982148487696796,4.445403763776779
593845ec8a2a,101,201,/api/user/201/details,GET,401,25,2.075404,0,0,/api/user/{}/details,1,/api/user//details,1,numeric,1,0,0,0,100.0,0,29,2,0,client_error,0,1,0,0,3.258096538021482,tiny,1.1234362747424282,0,0,0,1,1,0,0,22,2,0,0,9,2,0,False,True,False,False,0,0,0,0,0,0.21831383135201032,-0.48418503683298725,-0.5945254045287274,-0.4034287772465918,-0.579504646141257,-0.5921314740648969,-0.3552655235637277,-1.7982148487696796,-0.17526681505929956
05316a1ace0b,101,301,/api/user/301/details,POST,405,153,2.048617,0,0,/api/user/{}/details,1,/api/user//details,1,numeric,1,0,0,0,200.0,0,29,2,0,client_error,0,0,0,0,5.0369526024136295,small,1.1146880451601753,0,0,0,3,0,1,0,22,2,0,0,9,2,1,False,False,False,True,0,0,0,0,0,0.29997911492773827,2.4320811593767298,-1.8872339589837364,-0.01686229648825172,2.373595341966813,-1.8952065278818204,2.8147960713126134,-1.7982148487696796,-0.17526681505929956
864403045174,101,101,/profile?uid=101,GET,200,64,2.113617,1,0,/profile?{},1,/profile?,1,numeric,1,0,0,1,0.0,0,29,2,0,success,1,0,0,0,4.174387269895637,tiny,1.1357850729124237,1,1,1,1,1,0,0,22,2,0,0,26,2,0,True,False,False,False,1,1,1,0,0,-3.885366668328318,0.40436481982466094,1.2495882323619365,-0.7899952580049319,0.9416404333094139,1.2472590778914543,-0.3552655235637277,-1.7982148487696796,4.445403763776779
7dd3afaf1160,101,201,/profile?uid=201,GET,404,30,2.069131,0,0,/profile?{},1,/profile?,1,numeric,1,0,0,0,100.0,0,29,2,0,client_error,0,0,0,1,3.4339872044851463,tiny,1.1213944596402767,0,0,0,1,1,0,0,22,2,0,0,26,2,0,False,False,True,False,0,0,0,0,0,0.2795627940338063,-0.37026838854354516,-0.897252875395045,-0.4034287772465918,-0.2875064707747419,-0.896265961975202,-0.3552655235637277,-1.7982148487696796,-0.17526681505929956
d0ca4d5c84f2,101,301,/profile?uid=301,GET,404,30,2.106521,0,0,/profile?{},1,/profile?,1,numeric,1,0,0,0,200.0,0,29,2,0,client_error,0,0,0,1,3.4339872044851463,tiny,1.133503450518077,1,0,0,1,1,0,0,22,2,0,0,26,2,0,False,False,True,False,0,0,0,0,0,0.2795627940338063,-0.37026838854354516,0.9071437666728661,-0.01686229648825172,-0.2875064707747419,0.9074045740345091,-0.3552655235637277,-1.7982148487696796,-0.17526681505929956
429750706146,101,101,/invoice?id=101,GET,404,30,2.074398,0,0,/invoice?{},1,/invoice?,1,numeric,1,0,0,1,0.0,0,29,2,0,client_error,0,0,0,1,3.4339872044851463,tiny,1.123109109734848,0,0,0,1,1,0,0,22,2,0,0,13,2,0,False,False,True,False,1,0,0,0,0,0.2795627940338063,-0.37026838854354516,-0.6430737602901619,-0.7899952580049319,-0.2875064707747419,-0.6408636839196173,-0.3552655235637277,-1.7982148487696796,4.445403763776779
88481022a819,101,201,/invoice?id=201,GET,404,30,2.09601,0,0,/invoice?{},1,/invoice?,1,numeric,1,0,0,0,100.0,0,29,2,0,client_error,0,0,0,1,3.4339872044851463,tiny,1.1301141856964245,0,0,0,1,1,0,0,22,2,0,0,13,2,0,False,False,True,False,0,0,0,0,0,0.2795627940338063,-0.37026838854354516,0.3998954889308122,-0.4034287772465918,-0.2875064707747419,0.40256340607590474,-0.3552655235637277,-1.7982148487696796,-0.17526681505929956
6f5b158651d2,101,301,/invoice?id=301,GET,200,85,2.088695,0,0,/invoice?{},1,/invoice?,1,numeric,1,0,0,0,200.0,0,29,2,0,success,1,0,0,0,4.454347296253507,tiny,1.127748671606094,0,0,0,1,1,0,0,22,2,0,0,13,2,0,True,False,False,False,0,1,0,0,1,-3.885366668328318,0.8828147426403177,0.0468823453970555,-0.01686229648825172,1.4064053836937898,0.05021298230384748,-0.3552655235637277,-1.7982148487696796,-0.17526681505929956
bd0910e20d50,101,101,/order/101/status,GET,401,25,2.080827,0,0,/order/{}/status,1,/order//status,1,numeric,1,0,0,1,0.0,0,29,2,0,client_error,0,1,0,0,3.258096538021482,tiny,1.1251980674375726,0,0,0,1,1,0,0,22,2,0,0,23,2,0,False,True,False,False,1,0,0,0,0,0.21831383135201032,-0.48418503683298725,-0.33281791616459117,-0.7899952580049319,-0.579504646141257,-0.3297071641569018,-0.3552655235637277,-1.7982148487696796,4.445403763776779
59e236af4b06,101,201,/order/201/status,GET,401,25,2.079395,0,0,/order/{}/status,1,/order//status,1,numeric,1,0,0,0,100.0,0,29,2,0,client_error,0,1,0,0,3.258096538021482,tiny,1.124733149119436,0,0,0,1,1,0,0,22,2,0,0,23,2,0,False,True,False,False,0,0,0,0,0,0.21831383135201032,-0.48418503683298725,-0.40192452198009915,-0.4034287772465918,-0.579504646141257,-0.39895814308130123,-0.3552655235637277,-1.7982148487696796,-0.17526681505929956
ae0c988d33eb,101,301,/order/301/status,GET,401,25,2.124135,0,0,/order/{}/status,1,/order//status,1,numeric,1,0,0,0,200.0,0,29,2,0,client_error,0,1,0,0,3.258096538021482,tiny,1.139157444872174,1,0,0,1,1,0,0,22,2,0,0,23,2,0,False,True,False,False,0,0,0,0,0,0.21831383135201032,-0.48418503683298725,1.7571743217246012,-0.01686229648825172,-0.579504646141257,1.7495840033663226,-0.3552655235637277,-1.7982148487696796,-0.17526681505929956
4057cbd973bf,101,101,/document?doc_id=101,GET,404,31,2.084779,0,0,/document?{},1,/document?,1,numeric,1,0,0,1,0.0,0,29,2,0,client_error,0,0,0,1,3.4657359027997265,tiny,1.1264800178383036,0,0,0,1,1,0,0,22,2,0,0,12,2,0,False,False,True,False,1,0,0,0,0,0.2795627940338063,-0.3474850588856568,-0.14209912693077625,-0.7899952580049319,-0.23480008126296797,-0.13875680423355272,-0.3552655235637277,-1.7982148487696796,4.445403763776779
7e3ffe0257e0,101,201,/document?doc_id=201,GET,200,104,2.089642,0,0,/document?{},1,/document?,1,numeric,1,0,0,0,100.0,0,29,2,0,success,1,0,0,0,4.653960350157523,small,1.1280552265924653,0,0,0,1,1,0,0,22,2,0,0,12,2,0,True,False,False,False,0,1,0,0,0,-3.885366668328318,1.3156980061401975,0.0925834317848163,-0.4034287772465918,1.7377853749757683,0.09587526763914501,-0.3552655235637277,-1.7982148487696796,-0.17526681505929956
3dbcc75a2818,101,301,/document?doc_id=301,GET,200,85,2.098618,0,0,/document?{},1,/document?,1,numeric,1,0,0,0,200.0,0,29,2,0,success,1,0,0,0,4.454347296253507,tiny,1.130956205638248,0,0,0,1,1,0,0,22,2,0,0,12,2,0,True,False,False,False,0,1,0,0,1,-3.885366668328318,0.8828147426403177,0.5257544470081867,-0.01686229648825172,1.4064053836937898,0.5279848037073163,-0.3552655235637277,-1.7982148487696796,-0.17526681505929956
b3b46557aab3,101,101,/api/account/101/balance,GET,401,25,2.118765,0,0,/api/account/{}/balance,1,/api/account//balance,1,numeric,1,0,0,1,0.0,0,29,2,0,client_error,0,1,0,0,3.258096538021482,tiny,1.1374370901253639,1,0,0,1,1,0,0,22,2,0,0,3,2,0,False,True,False,False,1,0,0,0,0,0.21831383135201032,-0.48418503683298725,1.4980245499165,-0.7899952580049319,-0.579504646141257,1.4933320002374295,-0.3552655235637277,-1.7982148487696796,4.445403763776779
823d76613edc,101,201,/api/account/201/balance,POST,405,153,2.077365,0,0,/api/account/{}/balance,1,/api/account//balance,1,numeric,1,0,0,0,100.0,0,29,2,0,client_error,0,0,0,0,5.0369526024136295,small,1.1240737113393167,0,0,0,3,0,1,0,22,2,0,0,3,2,1,False,False,False,True,0,0,0,0,0,0.29997911492773827,2.4320811593767298,-0.4998898919559706,-0.4034287772465918,2.373595341966813,-0.49718337971214915,2.8147960713126134,-1.7982148487696796,-0.17526681505929956
934a30084963,101,301,/api/account/301/balance,POST,405,153,2.063771,0,0,/api/account/{}/balance,1,/api/account//balance,1,numeric,1,0,0,0,200.0,0,29,2,0,client_error,0,0,0,0,5.0369526024136295,small,1.1196465101818596,0,0,0,3,0,1,0,22,2,0,0,3,2,1,False,False,False,True,0,0,0,0,0,0.29997911492773827,2.4320811593767298,-1.155920059173705,-0.01686229648825172,2.373595341966813,-1.1566282802226413,2.8147960713126134,-1.7982148487696796,-0.17526681505929956
199fdb04935a,101,101,/settings?user_id=101,GET,401,25,2.070785,0,0,/settings?{},1,/settings?,1,numeric,1,0,0,1,0.0,0,29,2,0,client_error,0,1,0,0,3.258096538021482,tiny,1.121933229239082,0,0,0,1,1,0,0,22,2,0,0,28,2,0,False,True,False,False,1,0,0,0,0,0.21831383135201032,-0.48418503683298725,-0.817432815326042,-0.7899952580049319,-0.579504646141257,-0.8160146131328794,-0.3552655235637277,-1.7982148487696796,4.445403763776779
02fd9b591fba,101,201,/settings?user_id=201,GET,401,25,2.112459,0,0,/settings?{},1,/settings?,1,numeric,1,0,0,0,100.0,0,29,2,0,client_error,0,1,0,0,3.258096538021482,tiny,1.1354130890133023,1,0,0,1,1,0,0,22,2,0,0,28,2,0,False,True,False,False,0,0,0,0,0,0.21831383135201032,-0.48418503683298725,1.1937045385530294,-0.4034287772465918,-0.579504646141257,1.1918509596191595,-0.3552655235637277,-1.7982148487696796,-0.17526681505929956
