request_id,timestamp,user_key,user_id,target_id,endpoint,method,url,headers,status_code,response_length,response_headers,sensitive_data_found,is_unauthorized,access_type,response_time
9a8b95940046,2025-11-05T22:55:00.781347,user_a,101,101,/user/profile?user_id=101,GET,http://localhost:5002/user/profile?user_id=101,{'Authorization': 'Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoiMTAxIn0.mock_token_a'},200,155,"{'Server': 'Werkzeug/3.1.3 Python/3.13.7', 'Date': 'Wed, 05 Nov 2025 17:25:00 GMT', 'Content-Type': 'application/json', 'Content-Length': '155', 'Connection': 'close'}",1,0,authorized,2.126834
d71d5567d2d7,2025-11-05T22:55:03.003296,user_a,101,201,/user/profile?user_id=201,GET,http://localhost:5002/user/profile?user_id=201,{'Authorization': 'Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoiMTAxIn0.mock_token_a'},404,27,"{'Server': 'Werkzeug/3.1.3 Python/3.13.7', 'Date': 'Wed, 05 Nov 2025 17:25:03 GMT', 'Content-Type': 'application/json', 'Content-Length': '27', 'Connection': 'close'}",0,0,authorized,2.119034
cc974ab566d1,2025-11-05T22:55:05.212472,user_a,101,301,/user/profile?user_id=301,GET,http://localhost:5002/user/profile?user_id=301,{'Authorization': 'Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoiMTAxIn0.mock_token_a'},404,27,"{'Server': 'Werkzeug/3.1.3 Python/3.13.7', 'Date': 'Wed, 05 Nov 2025 17:25:05 GMT', 'Content-Type': 'application/json', 'Content-Length': '27', 'Connection': 'close'}",0,0,authorized,2.106626
786f68b11c9e,2025-11-05T22:55:07.393742,user_a,101,101,/api/user/101/details,GET,http://localhost:5002/api/user/101/details,{'Authorization': 'Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoiMTAxIn0.mock_token_a'},401,25,"{'Server': 'Werkzeug/3.1.3 Python/3.13.7', 'Date': 'Wed, 05 Nov 2025 17:25:07 GMT', 'Content-Type': 'application/json', 'Content-Length': '25', 'Connection': 'close'}",0,0,authorized,2.078939
593845ec8a2a,2025-11-05T22:55:09.570659,user_a,101,201,/api/user/201/details,GET,http://localhost:5002/api/user/201/details,{'Authorization': 'Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoiMTAxIn0.mock_token_a'},401,25,"{'Server': 'Werkzeug/3.1.3 Python/3.13.7', 'Date': 'Wed, 05 Nov 2025 17:25:09 GMT', 'Content-Type': 'application/json', 'Content-Length': '25', 'Connection': 'close'}",0,0,authorized,2.075404
05316a1ace0b,2025-11-05T22:55:11.721222,user_a,101,301,/api/user/301/details,POST,http://localhost:5002/api/user/301/details,{'Authorization': 'Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoiMTAxIn0.mock_token_a'},405,153,"{'Server': 'Werkzeug/3.1.3 Python/3.13.7', 'Date': 'Wed, 05 Nov 2025 17:25:11 GMT', 'Content-Type': 'text/html; charset=utf-8', 'Allow': 'GET, HEAD, OPTIONS', 'Content-Length': '153', 'Connection': 'close'}",0,0,authorized,2.048617
864403045174,2025-11-05T22:55:13.936917,user_a,101,101,/profile?uid=101,GET,http://localhost:5002/profile?uid=101,{'Authorization': 'Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoiMTAxIn0.mock_token_a'},200,64,"{'Server': 'Werkzeug/3.1.3 Python/3.13.7', 'Date': 'Wed, 05 Nov 2025 17:25:13 GMT', 'Content-Type': 'application/json', 'Content-Length': '64', 'Connection': 'close'}",1,0,authorized,2.113617
7dd3afaf1160,2025-11-05T22:55:16.107671,user_a,101,201,/profile?uid=201,GET,http://localhost:5002/profile?uid=201,{'Authorization': 'Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoiMTAxIn0.mock_token_a'},404,30,"{'Server': 'Werkzeug/3.1.3 Python/3.13.7', 'Date': 'Wed, 05 Nov 2025 17:25:16 GMT', 'Content-Type': 'application/json', 'Content-Length': '30', 'Connection': 'close'}",0,0,authorized,2.069131
d0ca4d5c84f2,2025-11-05T22:55:18.315933,user_a,101,301,/profile?uid=301,GET,http://localhost:5002/profile?uid=301,{'Authorization': 'Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoiMTAxIn0.mock_token_a'},404,30,"{'Server': 'Werkzeug/3.1.3 Python/3.13.7', 'Date': 'Wed, 05 Nov 2025 17:25:18 GMT', 'Content-Type': 'application/json', 'Content-Length': '30', 'Connection': 'close'}",0,0,authorized,2.106521
429750706146,2025-11-05T22:55:20.492431,user_a,101,101,/invoice?id=101,GET,http://localhost:5002/invoice?id=101,{'Authorization': 'Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJ1c2VyX2lkIjoiMTAxIn0.mock_token_a'},404,30,"{'Server': 'Werkzeug/3.1.3 Python/3.13.7', 'Date': 'Wed, 05 Nov 2025 17:25:20 GMT', 'Content-Type': 'application/json', 'Content-Length': '30', 'Connection': 'close'}",0,0,authorized,2.074398
